# dL_mid, dL_binned_prob, dLm_detections
3.755078486890914746e+02 1.076025040748627815e+00 1.000000000000000000e+00
5.306274454019089717e+02 0.000000000000000000e+00 0.000000000000000000e+00
6.857470421147263551e+02 0.000000000000000000e+00 0.000000000000000000e+00
8.408666388275438521e+02 0.000000000000000000e+00 0.000000000000000000e+00
9.959862355403613492e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.151105832253178733e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.306225428965996343e+03 1.572881652624096294e-01 1.000000000000000000e+00
1.461345025678813727e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.616464622391631110e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.771584219104448493e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.926703815817266104e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.081823412530083260e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.236943009242901098e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.392062605955718936e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.547182202668535865e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.702301799381353703e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.857421396094170632e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.012540992806988470e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.167660589519805853e+03 0.000000000000000000e+00 0.000000000000000000e+00
