# z_mid, z_binned_prob, zm_detections
7.686501633571951597e-02 4.064003834867823128e-01 2.000000000000000000e+00
1.495843422844221615e-01 5.447959310798924371e-01 9.000000000000000000e+00
2.223036682331248071e-01 3.877548571701526225e-01 1.300000000000000000e+01
2.950229941818274804e-01 2.203960855562369370e-01 1.200000000000000000e+01
3.677423201305301537e-01 1.923475326336719915e-01 1.500000000000000000e+01
4.404616460792327715e-01 8.734149383661381216e-02 9.000000000000000000e+00
5.131809720279354448e-01 3.107042001565837180e-02 4.000000000000000000e+00
5.859002979766381181e-01 3.886672325040284315e-02 6.000000000000000000e+00
6.586196239253407914e-01 1.672099789288743893e-02 3.000000000000000000e+00
7.313389498740434647e-01 9.829122835845079814e-03 2.000000000000000000e+00
8.040582758227461380e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.767776017714488113e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.494969277201513735e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.022216253668854158e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.094935579617556609e+00 3.304456084598284861e-03 1.000000000000000000e+00
1.167654905566259504e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.240374231514961956e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.313093557463664851e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.385812883412367302e+00 0.000000000000000000e+00 0.000000000000000000e+00
