# ['gamma', 'delta', 'b_0, b_1, b_2'], ['cte', 'a20', 'a01', 'a21', 'a10', 'a11']
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.7489681701286155 0.25126520254899415 -5.693339283887198 0.02585614334106081 -3.09790413537583e-05 83.21155182282844 -3.748605672341994e-06 -0.41697640354421905 1.4121418540804786e-05 0.0004314481781055189 -0.003416697761629636
-0.7185121105851477 0.24371807088415223 -5.820653772364029 0.027028913165713785 -3.3539050857906074e-05 82.75024044885477 -3.7690461451803704e-06 -0.3578734199260945 1.1099817767865692e-05 0.0005042120220551736 -0.003676375947044687
-0.7373039918313966 0.24697527249638984 -5.429911418308739 0.023815861936777608 -2.7174523185301744e-05 83.12093000746714 -3.4729943028084056e-06 -0.5264355588306815 -5.213511344282586e-06 0.0004068066449859489 0.00043772370988291
-0.7280732575807156 0.2490751915405485 -5.642831844607732 0.026170434642307866 -3.309129169162821e-05 83.10525573667712 -4.2107357982878945e-06 -0.4153069341721783 1.0691588563527925e-05 0.0005725356769681439 -0.0032867510725705226
-0.694109459548442 0.23588848897107248 -5.603454920978624 0.026014813693498645 -3.271941634590797e-05 82.37727930167274 -4.422739610418785e-06 -0.4861001495713848 7.631005214845712e-06 0.0006413418164677904 -0.0020424486903700993
-0.7179696885505827 0.24298136020511532 -5.741647088170215 0.026300905669857606 -3.1983093869984196e-05 82.32356242536798 -3.9261583379677815e-06 -0.40946970368856217 8.255381197005193e-06 0.0005451112378665149 -0.0033011279275223346
-0.7067047167654987 0.24064627718851192 -5.758165404678856 0.02629993387493921 -3.194155200786925e-05 83.36270703096815 -3.238135708310887e-06 -0.58044898647008 -7.383272701574818e-06 0.00030192179926797285 0.001280306545697588
-0.7431600066819587 0.2535962640111109 -5.867390545163962 0.02657933584745302 -3.178829885642516e-05 82.86400236355544 -3.6861738301370056e-06 -0.5196674556546927 6.167876089917872e-06 0.00042268830639797015 -0.0012177581018722045
-0.7216892629046989 0.24919856324725936 -5.817870466048423 0.0268982851809111 -3.4027840108427436e-05 82.86335442442089 -4.07697641198869e-06 -0.43307611180749006 2.587917285230877e-06 0.00048027343503302417 -0.0015010692683049185
-0.8325067556396072 0.27905025596996175 -5.523313300819883 0.02482760893322297 -3.138015280366818e-05 82.9619880529348 -4.513080623628687e-06 -0.4682050734729269 3.6065612727769075e-06 0.0005188610296579128 -0.0012129624861092262
-0.7791096767043817 0.2609332587085499 -5.707785939665501 0.02600342903553382 -3.1922082056637564e-05 82.83474962977459 -4.147682888902497e-06 -0.6100007554147509 3.2492950295821175e-06 0.000521466257401029 -0.00023346290787986995
-0.7181025230634372 0.24265929777265943 -5.8190091566679545 0.025978398486931693 -3.028558695435494e-05 83.54235789465757 -3.5612206944653385e-06 -0.5190521766464449 -1.3293320547611747e-06 0.00036286819998239314 -0.0006347297229116135
-0.736335868087046 0.24790848164927723 -5.754452473740182 0.02597111756273395 -3.107013852013526e-05 82.7347713684183 -4.125057402584348e-06 -0.5357728152665568 -3.727232433745333e-07 0.0005038825622627124 -0.0005831416033640771
-0.7606461373322053 0.25326906434385693 -5.709124885987155 0.02607487418337386 -3.1688581378074594e-05 82.23766735315158 -3.9869019315955194e-06 -0.4574765598607835 -2.914495596698765e-07 0.0005329196623963789 -0.0010433803711034865
-0.7193531041662365 0.24408308192108383 -5.768587839441546 0.02608095108181431 -3.12431517154619e-05 82.73851473677547 -3.847726998255413e-06 -0.49538392700218414 -3.1690397214029194e-07 0.0004759222585803369 -0.0007181796848832175
-0.7479789430200663 0.2481904528999201 -5.770166217886902 0.026221642905639858 -3.150198284857932e-05 82.9394725268774 -3.880263861627909e-06 -0.5248174993311145 -3.170037931609815e-07 0.0004720078297801194 -0.0007355466190748507
-0.7824975049391465 0.26046312296508883 -5.879465873874941 0.026485169719507123 -3.1479134186836896e-05 82.99238340072338 -3.457171123731595e-06 -0.48426811753610866 -2.442258999337023e-07 0.0003089935998736928 -0.0005545913833875834
-0.8066830679193736 0.2664158743140027 -5.789487345275877 0.026554664616304978 -3.273214391929056e-05 83.15798155724258 -3.491552453981905e-06 -0.5672280228068383 -1.844840131789619e-07 0.000329289106882965 0.00028845065210530356
-0.6630111685259599 0.22367635472766778 -5.901133896321308 0.027171956860526918 -3.3420286116945635e-05 82.6145235016954 -3.822006628070219e-06 -0.5826339050728468 -2.0772364486227196e-07 0.00045016297139218744 3.537617074379395e-05
-0.7543405770552123 0.25222459622897353 -6.030009050636853 0.0278745074797224 -3.4425271477894035e-05 83.01305671976246 -3.547539160345918e-06 -0.5375173324992621 -1.0471292739029069e-07 0.00035210799740381475 4.043101075608325e-05
-0.701164053944928 0.2349807829231918 -5.978502177987512 0.02788161182595526 -3.485319583457933e-05 83.18775599566499 -3.4888345212585815e-06 -0.508070133499154 -1.1383993451649123e-07 0.00031820892849070766 4.2990824675283947e-05
-0.7930770840787571 0.2612994579970195 -5.875302118304347 0.027876049856614862 -3.599945461787537e-05 82.21620200731323 -4.256645871509869e-06 -0.5709195888384746 -2.3201660100900368e-07 0.000587233538956842 -1.1741377932725054e-05
-0.722819724159524 0.2406624994260346 -5.781711670218101 0.026571635859973783 -3.2671904738840215e-05 82.30904343370186 -3.8539767599113515e-06 -0.47198330060489113 -2.2059974558745592e-07 0.0004553456308328541 -1.7268082053785436e-05
-0.724229813043977 0.2404556067227251 -5.798427030626447 0.026672290280061656 -3.252788430923864e-05 82.6436140349883 -3.5026545786425017e-06 -0.5400494002221014 -2.5465705037033797e-07 0.0003960192409050804 -2.1511156365149156e-05
-0.6982723826815723 0.23653787657666026 -5.888531087470771 0.026708202756547623 -3.193498615258581e-05 82.93895855467633 -3.6516581632955765e-06 -0.5285053027596853 -2.388460361079934e-07 0.00038519575078361005 -2.3838067306281084e-05
-0.725435667747182 0.24651956351272128 -6.0122592462364 0.027596192196326478 -3.325981183862311e-05 83.32322030965832 -3.0039146185979676e-06 -0.5024965660810121 -3.3129248677665543e-07 0.0002511450341120082 -3.090315085156432e-05
-0.7200947770489363 0.24529815769169008 -5.982487696921666 0.028045499778624527 -3.4572843252554365e-05 83.30266516598587 -3.00192976363e-06 -0.5665892267664052 -3.5667201007220534e-07 0.0002922775658005083 -3.110558635483125e-05
-0.7455995603963649 0.25711910173418157 -6.004270831917263 0.027679883884115825 -3.3983249702245985e-05 83.64337884575542 -3.426225981848834e-06 -0.5348576435564607 -3.456898921972045e-07 0.00035090272545697503 -3.4401911708638474e-05
-0.7228649647880718 0.2486513773229948 -5.920792436367738 0.027293931854508634 -3.3373936267097434e-05 83.89202897487785 -3.013154021891343e-06 -0.49059749884617115 -3.990043509883841e-07 0.00021932430159763913 -3.7527132201528284e-05
-0.7290225987834895 0.24510831268236702 -5.936292671670554 0.02741710138463498 -3.323163068123111e-05 82.91053429321465 -3.1309517270011305e-06 -0.5301511873391362 -5.68947957471481e-07 0.0003015026944872685 -3.189185219915834e-05
-0.7368453753825582 0.24943421699272025 -5.869484560934307 0.02745321044976489 -3.44036437181324e-05 83.04300145567008 -3.445093028903192e-06 -0.4845414528095824 -3.6482897813504886e-06 0.0003850696858401552 1.3349949968079014e-05
-0.7709307705562495 0.25674243075859465 -5.806328484695799 0.027245736858066517 -3.4308633656488816e-05 82.52977772536423 -3.6046560892940126e-06 -0.5746491455275766 -2.1941680807799026e-06 0.0004647052344193056 1.7954958398827244e-05
-0.6348647289935588 0.2178579185214617 -5.927268366565092 0.02755709066956709 -3.395928047392973e-05 82.38640627718722 -3.481736798817159e-06 -0.4891651400876106 -1.3447577221236435e-06 0.0003964607001863353 1.759013036761145e-05
-0.6921201208080696 0.23771705403839866 -5.881776253548215 0.027190588982397533 -3.428945437695764e-05 83.14319999392302 -3.8190884834385685e-06 -0.5333020384093894 7.960938686861311e-07 0.00039829279243309783 3.022243024438764e-05
-0.7314832570441772 0.24753921999712555 -5.928150565336933 0.027312750797923405 -3.3878897058978874e-05 82.6534345869839 -4.111886154425042e-06 -0.5597704852275039 9.32857320854893e-07 0.0005148608198835027 3.945205391631567e-05
-0.78001276291451 0.2614368454900766 -5.9919398867507585 0.02782308017758691 -3.447444147244857e-05 82.82072885597083 -3.429786984539703e-06 -0.5009570391577867 4.986216383167995e-07 0.0003372032155420833 7.151675185343847e-05
-0.7129167752890108 0.23870760986976716 -5.986412476438744 0.027854153820731795 -3.444441805041351e-05 82.77689910840417 -3.483544645571353e-06 -0.5034129033918495 4.5024509857568955e-07 0.00038996465737156974 5.636204336625789e-05
