# dL_mid, dL_binned_prob, dLm_detections
1.051839330572830988e+02 1.359920579639454896e+00 5.000000000000000000e+00
2.067590440448961715e+02 4.735026420044399775e-01 6.000000000000000000e+00
3.083341550325092157e+02 6.087273165304393219e-01 1.600000000000000000e+01
4.099092660201223453e+02 3.659570901714661040e-01 1.600000000000000000e+01
5.114843770077353611e+02 1.709677193917792382e-01 1.100000000000000000e+01
6.130594879953484906e+02 1.369636181575164535e-01 1.200000000000000000e+01
7.146345989829615064e+02 4.420405494954984110e-02 5.000000000000000000e+00
8.162097099705746359e+02 3.559481889857520759e-02 5.000000000000000000e+00
9.177848209581876517e+02 2.361479128788928142e-02 4.000000000000000000e+00
1.019359931945800668e+03 1.001993594895912200e-02 2.000000000000000000e+00
1.120935042933413797e+03 4.330843120745333889e-03 1.000000000000000000e+00
1.222510153921026813e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.324085264908640056e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.425660375896253072e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.527235486883866088e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.628810597871479331e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.730385708859092119e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.831960819846705363e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.933535930834318378e+03 0.000000000000000000e+00 0.000000000000000000e+00
