# z_mid, z_binned_prob, zm_detections
7.961288123930755634e-02 8.393015556575906810e-01 1.300000000000000000e+01
1.627252483250279380e-01 5.883865544615410892e-01 3.300000000000000000e+01
2.458376154107483058e-01 4.476717536740371650e-01 5.200000000000000000e+01
3.289499824964686736e-01 2.428292713361253352e-01 4.600000000000000000e+01
4.120623495821890137e-01 1.219354523597689782e-01 3.300000000000000000e+01
4.951747166679094092e-01 1.097030913421001425e-01 3.900000000000000000e+01
5.782870837536298048e-01 5.445166249358166649e-02 2.400000000000000000e+01
6.613994508393501448e-01 3.626182360301995200e-02 1.900000000000000000e+01
7.445118179250704848e-01 1.491476890393669819e-02 9.000000000000000000e+00
8.276241850107908249e-01 4.424629565897970213e-03 3.000000000000000000e+00
9.107365520965111649e-01 4.015613111148176075e-03 3.000000000000000000e+00
9.938489191822317270e-01 3.702381318785120511e-03 3.000000000000000000e+00
1.076961286267952067e+00 2.305298106576730410e-03 2.000000000000000000e+00
1.160073653353672407e+00 2.176230082348448724e-03 2.000000000000000000e+00
1.243186020439392747e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.326298387525113087e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.409410754610833427e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.492523121696553767e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575635488782274107e+00 0.000000000000000000e+00 0.000000000000000000e+00
